评分,片名,导演,编剧,主演,类型,制片国家/地区,上映日期,短评数,影评数
9.7,陈奕迅线上慈善演唱会,,,陈奕迅,"音乐,真人秀",中国香港,2020-07-11(中国香港),全部 5185 条,全部 33 条
9.6,雷曼兄弟三部曲,萨姆·门德斯,,"西蒙·拉塞尔·比尔,亚当·戈德利,本·迈尔斯,吉里安·比科维茨",剧情,英国,2019-07-25(英国),全部 2291 条,全部 41 条
9.6,岚ARAFES2020at国立竞技场,阿拉希,,"大野智,樱井翔,相叶雅纪,二宫和也,松本润","音乐,歌舞",日本,2020-11-03(日本),全部 174 条,全部 0 条
9.6,This is 嵐 LIVE,嵐 ARASHI,,"大野智,樱井翔,相叶雅纪,二宫和也,松本润","音乐,歌舞",日本,2020-12-31(日本),全部 127 条,全部 1 条
9.6,伊恩·麦克莱恩80岁个人秀巡回演出,西恩·马提亚斯,,伊恩·麦克莱恩,剧情,英国,2021-12-24(中国大陆),全部 163 条,全部 4 条
9.5,汉密尔顿,托马斯·凯尔,,"林-曼努尔·米兰达,小莱斯利·奥多姆,戴维德·迪格斯,芮妮·戈兹贝里,菲莉帕·苏,乔纳森·格罗夫,克里斯·杰克逊,贾思敏·赛法斯·琼斯,奥基里特·奥诺多瓦,安东尼·拉莫斯,卡利·贝蒂奥尔,阿丽亚娜·德博斯,霍普·伊斯特布鲁克,西德尼·詹姆斯·哈考特,萨莎·赫金斯,伊弗雷姆·赛克斯","歌舞,历史",美国,2020-07-03(美国),全部 22786 条,全部 200 条
9.5,山河令生来知己演唱会,,,"张哲瀚,龚俊,周也,马闻远,孙浠伦,李岱昆,王若麟,黄宥明,陈紫函,金乐,赵茜,柯乃予,郭家豪,范津玮,黑子,郭云飞,袁帅,胡夏,满舒克,王嘉诚,王晰,弦子,叶里,汪聪,谢楠,马韬,小初,周照中,杨涵玉","音乐,歌舞",中国大陆,2021-05-03(中国大陆网络),全部 77764 条,全部 510 条
9.5,夏目友人帐 第六季 特别篇 铃响的残株,大森贵弘,,"神谷浩史,井上和彦,伊藤美纪,伊藤荣次,堀江一真,木村良平,菅沼久义,松山鹰志,下崎纮史,冈村明美,黑田崇矢,绪方贤一,久野美咲,种崎敦美,森下由树子,塙爱美","剧情,动画,奇幻",日本,2017-09-27(日本),全部 3380 条,全部 8 条
9.5,夏目友人帐 第六季 特别篇 梦幻的碎片,大森贵弘,,"神谷浩史,井上和彦,小林沙苗,速水奖,安藤瞳,木村遥,樱井春名","剧情,动画,奇幻",日本,2017-10-25(日本),全部 1986 条,全部 8 条
9.5,夏目友人帐 第五季 特别篇 一夜酒杯,大森贵弘,,"神谷浩史,井上和彦,小林沙苗,伊藤美纪,伊藤荣次,西村知道,杉山佳寿子,松川央树,滨添伸也,塙爱美,高野慎平","剧情,动画",日本,2017-03-22(日本),全部 2359 条,全部 9 条
9.5,唐顿庄园：2015圣诞特别篇,迈克尔·恩格勒,,"休·博纳维尔,劳拉·卡尔迈克尔,吉姆·卡特,拉奎尔·卡西迪,布兰登·柯伊尔,米歇尔·道克瑞,凯文·道尔,迈克尔·福克斯,琼安·弗洛加特,马修·古迪,哈利·海顿-佩顿,莉莉·詹姆斯,罗伯·詹姆斯-克里尔,艾伦·里奇,菲利斯·洛根,伊丽莎白·麦戈文,索菲 麦希拉,莱斯利·尼科尔,戴维·罗布,玛吉·史密斯,佩内洛普·威尔顿,苏·乔斯顿,杰里米·斯威夫特,萨曼莎·邦德,派翠西亚·霍吉,菲比·斯帕罗,詹姆斯·格林尼,查理·安森,马特 · 巴伯,皮特·艾甘,蒂利亚纳·布克丽瓦","剧情,家庭",英国 / 美国,2015-12-25(英国),全部 4251 条,全部 36 条
9.5,莫扎特！,Harry Kupfer,,"Oedo Kuipers,Thomas Borchert,Mark Seibert,Franziska Schuster",歌舞,奥地利,2015-12-04(奥地利),全部 2003 条,全部 32 条
9.5,汉纳·盖茨比告别秀：娜娜,乔恩·欧布,,汉纳·盖茨比,"喜剧,脱口秀",澳大利亚,2018-06-19(澳大利亚),全部 3437 条,全部 36 条
9.5,黄子华栋笃笑之金盆𠺘口,黄子华,,黄子华,喜剧,中国香港,2018-07-06(中国香港),全部 1117 条,全部 22 条
9.5,容祖儿 PRETTY CRAZY 演唱会,,,"容祖儿,黎明,郑伊健,张学友,杨千嬅,林俊杰,李克勤,张信哲,钟欣潼,蔡卓妍,古天乐,张敬轩,谢霆锋,古巨基,周柏豪 ,王菀之,关智斌,黄天翱,翁厚梁,伍汉邦,刘德华,苏志威,蔡一智,蔡一杰","音乐,歌舞",中国香港,,全部 97 条,全部 0 条
9.5,英国国家剧院50周年庆典,尼古拉斯·希特纳,,"琼·普莱怀特,阿兰·本奈特,查尔斯·凯,玛吉·史密斯,德里克·雅各比,迈克尔·刚本,朱迪·丹奇,高恩·格兰杰,克里夫·梅利森,奥利弗·科顿,佩内洛普·威尔顿,科林·黑格,朱迪思·科克,弗朗西斯·德·拉·图瓦,海伦·米伦,黛博拉·芬德莱,尼古拉斯·勒·普雷沃斯特,迈克尔·布兰登,蒂姆·皮戈特-史密斯,罗杰·阿拉姆,马尔科姆·辛克莱,斯坦利·汤森德,阿历克斯·杰宁斯,西蒙·拉塞尔·比尔,拉尔夫·费因斯,克里斯托弗·埃克莱斯顿,劳埃德·欧文,艾德里安·莱斯特,艾莉森·吉厄,查尔斯·爱德华兹,本尼迪克特·康伯巴奇,斯蒂芬·坎贝尔·莫尔,罗里·金尼尔,安德鲁·斯科特,多米尼克·库珀,安娜·麦克西维尔·马丁,詹姆斯·柯登,琳赛·马歇尔,杰米·帕克,凯特·弗利特伍德,萨沙·达万,安德鲁·诺,乔纳森·贝利,奥莉维娅·维纳勒",舞台艺术,英国,2013-11-02,全部 345 条,全部 2 条
9.5,星野源巡回演唱会：流行病毒,Naoto Amazutsumi,,星野源,音乐,日本,2019-10-10(日本),全部 189 条,全部 1 条
9.5,宇多田光Laugher in the Dark 2018 巡回演唱会,,,宇多田光,音乐,日本,2019-06-28(日本),全部 284 条,全部 2 条
9.4,羽生结弦×野村万斋　谈表演之精髓,NHK,,"羽生结弦,野村万斋",,日本,2015-12-30(日本),全部 27 条,全部 0 条
9.4,天使在美国第二部：重建,玛丽安娜·埃利奥特,,"安德鲁·加菲尔德,拉塞尔·托维,内森·连恩,内森·斯图尔特-贾瑞特,马克·阿诺德,丹妮斯·高夫,苏珊·布朗,詹姆斯·麦卡德尔","剧情,同性",英国,2017-07-27(英国),全部 778 条,全部 17 条
